Start, End, Seconds, Transports, Fog1, Fog2
Statua di Pasquino, Foro Boario, 1146, walking, 1, 0
Statua di Pasquino, Ponte Nomentano, 12205, walking, 1, 0
Statua di Pasquino, Il Sepolcro degli Scipioni, 2968, walking, 1, 0
Statua di Pasquino, Tombe di Via Latina (Le), 5440, walking, 1, 0
Statua di Pasquino, Fontana del Babuino, 1116, walking, 1, 1
Statua di Pasquino, Via delle Quattro Fontane, 1465, walking, 1, 1
Statua di Pasquino, Via Sistina, 1344, walking, 1, 1
Statua di Pasquino, Torre delle Milizie, 1173, walking, 1, 0
Statua di Pasquino, Fontana del Piazzale Konrad Adenauer, 6654, walking, 1, 0
Statua di Pasquino, Fontanelle dei Lampioni, 9402, walking, 1, 0
Statua di Pasquino, Fontana delle Tiare, 1058, walking, 1, 1
Statua di Pasquino, Porta del Popolo, 1395, walking, 1, 1
Statua di Pasquino, Statua di Goethe, 2066, walking, 1, 1
Statua di Pasquino, Piazzale delle Nazioni Unite, 6674, walking, 1, 0
Statua di Pasquino, Arco di Villa Pamphilj, 2685, walking, 1, 0
Statua di Pasquino, Vascello (Il), 3771, walking, 1, 0
Statua di Pasquino, Piazzale Ugo La Malfa, 1545, walking, 1, 0
Statua di Pasquino, Arco di Dolabella, 2241, walking, 1, 0
Statua di Pasquino, Cortile della Pigna, 1903, walking, 1, 1
Statua di Pasquino, San Gioacchino, 1196, walking, 1, 1
Statua di Pasquino, Tempio di Ercole Vincitore, 3185, walking, 1, 0
Statua di Pasquino, Fontana dei Tritoni, 1167, walking, 1, 0
Statua di Pasquino, Bernini's Elephant, 414, walking, 1, 0
Statua di Pasquino, House of the Vestals, 2059, walking, 1, 0
Statua di Pasquino, Marcus Aurelius, 974, walking, 1, 0
Statua di Pasquino, Idrocronometro, 1787, walking, 1, 1
Statua di Pasquino, Passetto (Il), 651, walking, 1, 1
Statua di Pasquino, Ninfeo Villa Giulia, 2144, walking, 1, 1
Statua di Pasquino, Galleria Sciarra, 793, walking, 1, 0
Statua di Pasquino, Montesacro, 5453, walking, 1, 1
Statua di Pasquino, Fontana delle Anfore, 1777, walking, 1, 0
