Location,Lat,Long,Fog1,Fog2,PictureUrl,Description
Statua di Pasquino, 41.897832155228, 12.471773, 1, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Pasquino.jpg/1200px-Pasquino.jpg, "Pasquino è la più celebre statua parlante di Roma, divenuta figura caratteristica della città fra il XVI ed il XIX secolo. Ai piedi della statua, ma più spesso al collo, si appendevano nella notte fogli contenenti satire in versi, dirette a farsi beffe anonimamente di personaggi pubblici più importanti.........Leggi di più su: https://it.wikipedia.org/wiki/Pasquino"
Foro Boario, 41.888815510125, 12.481269816898, 1, 0, https://www.capitolivm.it/wp-content/uploads/2015/11/forumboarium04.jpg, "Le forum Boarium (littéralement « marché aux bœufs ») est l'un des plus anciens forums romains. Ce forum est situé, dans la Rome antique, à proximité du Tibre dans le quartier du Vélabre, entre les collines du Capitole au nord, du Palatin à l'est et de l' Aventin au sud. Il se développe immédiatement au nord-ouest du Circus Maximus.........Leggi di più su: https://fr.wikipedia.org/wiki/Forum_Boarium"
Ponte Nomentano, 41.958065131488, 12.579208244344, 0, 0, https://upload.wikimedia.org/wikipedia/commons/e/e2/Ponte_nomentano_1.jpg, "The Ponte Nomentano (called Pons Lamentanus in the Middle Ages) is a Roman bridge in Rome, Italy, which carried the Via Nomentana over the Aniene (Latin: Anio). Having lain outside the city limits for most of its history, the picturesque bridge is noted for its medieval bridge tower, which served to protect this important northern approach to Rome. History. Ponte Nomentano by Giuseppe Vasi, c ...........Leggi di più su: https://en.wikipedia.org/wiki/Ponte_Nomentano"
Il Sepolcro degli Scipioni, 41.875671200561, 12.500578616969, 1, 0, http://4.bp.blogspot.com/-efGDE4RsOB0/TdjvN8RG6XI/AAAAAAAAAHI/lVX5fA4QYj0/s1600/Sepolcro_degli_Scipioni.gif, "Il sepolcro degli Scipioni è un monumento funerario di età romana che si trova a Roma, lungo la via Appia antica, poco distante dalla Porta San Sebastiano. Su alcuni sarcofagi ivi contenuti sono stati rinvenuti i cosiddetti Scipionum elogia.........Leggi di più su: https://it.wikipedia.org/wiki/Sepolcro_degli_Scipioni"
Tombe di Via Latina (Le), 41.866344711832, 12.535362848897, 1, 0, https://www.lifeinitaly.com/wp-content/uploads/2018/08/Parco_Tombe_della_Via_Latina_11.jpg, "Le parc des Tombes de la Via Latina, inclus dans le Parc de la Voie Appienne, est l'un des complexes funéraires les plus importants de la banlieue de Rome Skip to main content........Leggi di più su: https://www.rome-roma.net/parc-des-tombes-de-la-via-latina"
Fontana del Babuino, 41.907179679468, 12.477921349621, 0, 1, https://upload.wikimedia.org/wikipedia/commons/2/2e/Roma-fontana_del_babuino.jpg, "Fountain of the Baboon The Babuino fountain is located in the street of the same name. The fountain gets its name from the statue of Silenus, also known by the locals as Babuino, reclining on top of the basin. This statue is one of the "talking statues" of Rome.........Leggi di più su: https://www.tripadvisor.com/Attraction_Review-g187791-d10130075-Reviews-Fontana_del..."
Via delle Quattro Fontane, 41.90216531336, 12.490655008688, 0, 1, https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/QuattroFontane2.jpg/1200px-QuattroFontane2.jpg, "La Via delle Quattro Fontane est une rue du centre de Rome, qui part de la Piazza Barberini et mène à la Via Nazionale.Elle constitue la frontière entre les districts de Monti, de Trevi et de Castro Pretorio [1........Leggi di più su: https://fr.wikipedia.org/wiki/Via_delle_Quattro_Fontane"
Via Sistina, 41.904129606425, 12.486562728882, 0, 1, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Colonna-Campo_Marzio_-_via_Sistina_1600.JPG/1200px-Colonna-Campo_Marzio_-_via_Sistina_1600.JPG, "La <b>Via Sistina</b> est une rue du centre de Rome, qui relie la piazza Trinità dei Monti, avec la piazza Barberini.........Leggi di più su: https://fr.wikipedia.org/wiki/Via_Sistina"
Torre delle Milizie, 41.89636563065, 12.486875080169, 1, 0, https://upload.wikimedia.org/wikipedia/commons/8/88/Mercati_di_traiano%2C_torre_delle_milizie.JPG, "La Torre delle Milizie (« Tour des Milices ») est une tour fortifiée située en Italie à Rome, entre les marchés de Trajan et les forums impériaux à l'est, et l' université pontificale Saint-Thomas-d'Aquin, Angelicum à l'ouest. Elle se trouve donc sur le Quirinal. C'est la tour la plus ancienne de la Ville éternelle.........Leggi di più su: https://fr.wikipedia.org/wiki/Torre_delle_Milizie"
Fontana del Piazzale Konrad Adenauer, 41.836564419325, 12.469416237489, 0, 0, https://media-cdn.tripadvisor.com/media/photo-s/10/4e/f5/ae/fontana.jpg, "Fontana del Piazzale Konrad Adenauer, Rome: Address, Fontana del Piazzale Konrad Adenauer Reviews: 4/5. Europe ; Italy ; Lazio ; Rome ; Things to Do in Rome ; Fontana del Piazzale Konrad Adenauer; Search. COVID-19 Update: To limit the spread of the coronavirus, attractions may be closed or have partial closures. Please consult government travel advisories before booking. More information can ...........Leggi di più su: https://www.tripadvisor.com/Attraction_Review-g187791-d590950-Reviews-Fontana_del..."
Fontanelle dei Lampioni, 41.88489, 12.38244, 0, 0, http://files.spazioweb.it/aruba19868/image/dscn2125.jpg, "23 visitors have checked in at Fontanelle dei Lampioni. Foursquare uses cookies to provide you with an optimal experience, to personalize ads that you may see, and to help advertisers measure the results of their ad campaigns.........Leggi di più su: https://foursquare.com/v/fontanelle-dei-lampioni/4adcdac7f964a520a85321e3"
