Location, Lat, Long
Statua di Pasquino, 41.897832155228, 12.471773
Foro Boario, 41.888815510125, 12.481269816898
Ponte Nomentano, 41.958065131488, 12.579208244344
Il Sepolcro degli Scipioni, 41.875671200561, 12.500578616969
Tombe di Via Latina (Le), 41.866344711832, 12.535362848897
Fontana del Babuino, 41.907179679468, 12.477921349621
Via delle Quattro Fontane, 41.90216531336, 12.490655008688
Via Sistina, 41.904129606425, 12.486562728882
Torre delle Milizie, 41.89636563065, 12.486875080169
Fontana del Piazzale Konrad Adenauer, 41.836564419325, 12.469416237489
Fontanelle dei Lampioni, 41.88489, 12.38244
Fontana delle Tiare, 41.90259163692, 12.457379147212
Porta del Popolo, 41.911541, 12.476027
Statua di Goethe, 41.910946161681, 12.487339864623
Piazzale delle Nazioni Unite, 41.835621699143, 12.471997379467
Arco di Villa Pamphilj, 41.877141594887, 12.455443739891
Vascello (Il), 41.890696, 12.426419
Piazzale Ugo La Malfa, 41.885459394209, 12.484405594547
Arco di Dolabella, 41.885796045509, 12.495555102456
Cortile della Pigna, 41.905957392121, 12.454395265745
San Gioacchino, 41.909192459801, 12.465575427461
Tempio di Ercole Vincitore, 41.875339, 12.444927
Fontana dei Tritoni, 41.888709368989, 12.481202622607
Bernini's Elephant, 41.897990303602, 12.477484600277
House of the Vestals, 41.891707530154, 12.48636549939
Marcus Aurelius, 41.893360587021, 12.482759300522
Idrocronometro, 41.911707212832, 12.480698666688
Passetto (Il), 41.901586458304, 12.463537499301
Ninfeo Villa Giulia, 41.918348096726, 12.475648031622
Galleria Sciarra, 41.899611026243, 12.482165744564
Montesacro, 41.935472318959, 12.534119172494
Fontana delle Anfore, 41.882849815587, 12.476099431515
Tomba del Beato Giovanni Paolo II, 41.90219437752, 12.457060041699
Obelisco del Foro Italico, 41.931927601208, 12.458839416504
Fontana dell'Acqua Felice, 41.904289307828, 12.49454498291
Fontana di Cinecittà Est, 41.852381304993, 12.590439319611
Villa Lante, 41.893142954606, 12.460615039706
Obelisco di Marconi, 41.833534457441, 12.470855712891
Mausoleo di Cecilia Metella, 41.851997172595, 12.520831724659
Fontana del Moro, 41.897986, 12.473153160985
Scuderie del Quirinale, 41.898794915535, 12.486595090448
Piazza di Pasquino, 41.897855, 12.472177
Monte Testaccio, 41.876208831813, 12.4761295681
Villa Dei Quintili, 41.831552341943, 12.554322179517
Fontana del Nettuno, 41.899332389343, 12.473052442074
Palazzo Cardinal Cesi, 41.901735596063, 12.459988008357
Monumento a Giordano Bruno, 41.895742, 12.472226
Obelisco Vaticano, 41.902448705562, 12.457877401473
Statua di Jan Palach, 41.933866390292, 12.47469056398
Monumento ad Anita Garibaldi, 41.893255812637, 12.460519865082
Tomba di Cecilia Metella, 41.852034271506, 12.520809318797
Fontana della Terrina, 41.89781, 12.468853
Parco Appio Claudio, 41.851573520062, 12.55954438872
Palazzo Ruspoli, 41.904245, 12.478983
Monumento a Garibaldi, 41.891471966047, 12.461180490585
Area Sacra, 41.895548018016, 12.476700695399
Le Quattro Fontane, 41.9019677, 12.4907112
Fontana delle Tartarughe, 41.893862183462, 12.477495798957
Villa Medici - Accademia di Francia a Roma, 41.908265743942, 12.482432126999
Monte del Grano (Il), 41.866531, 12.546809
Via dei Coronari, 41.900488306067, 12.46973991394
Fosse Ardeatine, 41.859077535285, 12.510855948682
Colonna di Marco Aurelio, 41.90083, 12.48
Catacombe di Priscilla, 41.929711621527, 12.508783605773
Catacombe di Domitilla, 41.858924566863, 12.505473535976
Scala Santa, 41.886975754567, 12.506470467383
Domus Aurea, 41.890998048112, 12.496798359711
Palazzo del Quirinale, 41.899391649963, 12.486595090448
L'Ipogeo di Via Livenza, 41.91357, 12.495067
Obelisco Lateranense, 41.886998265879, 12.504863059801
Motorizzazione Civile Di Roma (Casilina), 41.875953681481, 12.605562732254
Porta Sant'Anna, 41.903920853195, 12.457692655256
Arco di Giano, 41.889307577733, 12.482571601868
Palazzo Pallavicini-Rospigliosi, 41.897647727629, 12.487659055045
Accademia Libica, 41.952839380119, 12.45602860321
Presidenza del Consiglio dei Ministri Scuola Superiore della Pubblica Amministrazione, 41.936397627789, 12.46130925702
Obelisco di Dogali, 41.902178, 12.497492
Monumento Ciceruacchio, 41.888866424561, 12.461494445801
Ministero dei Trasporti - DG Sicurezza Stradale, 41.913260708308, 12.530141739427
Francesco uno di noi, 41.902342702158, 12.458543610022
Ufficio Reale, 41.945469, 12.473473
A Umberto Re D'Italia, 41.91251373291, 12.488922119141
Obelisco Pincio, 41.910900539661, 12.480166715636
Salone D'Onore Coni, 41.932918, 12.459099
Monumento a San Francesco d'Assisi, 41.8862, 12.5095
Museo Francescano, 41.868901798346, 12.382553924886
Museo Storico Guardia di Finanza, 41.83300415805, 12.504857459117
Nemi: Museo delle Navi Romane e Sagra delle Fragole, 41.866573, 12.546836
Museo Pio Clementino, 41.906254736138, 12.454059374053
Galleria dei Candelabri, 41.905899433822, 12.454210525192
Galleria degli Arazzi, 41.906477084902, 12.453583529191
Appartamento di San Pio V, 41.905649897987, 12.453684296172
Casale Della Cervelletta, 41.913254055849, 12.585608547267
Torretta Valadier, 41.936353, 12.465378
Archivio Storico Istituto Luce, 41.850175599521, 12.574313879013
Museo delle Mura, 41.875591204176, 12.504790250934
Appia Antica Ciampino, 41.799976082982, 12.584347513783
Tomba Di Nerone, 41.967548736994, 12.440171122874
Fontana del Mosè, 41.904333225643, 12.494426965713
Colonnato di Piazza San Pietro, 41.902245099709, 12.458324432373
